mode,n,m,instance,seed,algorithm,makespan,optimal_makespan,ratio,runtime_seconds
unidirectional,5,10,24,53050,ILP,13,13,1.0,0.005637432999719749
unidirectional,5,10,24,53050,REC,13,13,1.0,7.760200060147326e-05
unidirectional,5,10,24,53050,Heap-Based,13,13,1.0,4.2253999708918855e-05
unidirectional,5,10,25,53051,ILP,15,15,1.0,0.0050781310001184465
unidirectional,5,10,25,53051,REC,15,15,1.0,7.902600009401795e-05
unidirectional,5,10,25,53051,Heap-Based,15,15,1.0,4.90830007038312e-05
unidirectional,5,10,26,53052,ILP,14,14,1.0,0.0054505450007127365
unidirectional,5,10,26,53052,REC,14,14,1.0,8.402000094065443e-05
unidirectional,5,10,26,53052,Heap-Based,14,14,1.0,5.3200999900582246e-05
unidirectional,5,10,27,53053,ILP,11,11,1.0,0.005077718000393361
unidirectional,5,10,27,53053,REC,11,11,1.0,7.259999983943999e-05
unidirectional,5,10,27,53053,Heap-Based,11,11,1.0,4.8711000999901444e-05
unidirectional,5,10,28,53054,ILP,11,11,1.0,0.005060969000624027
unidirectional,5,10,28,53054,REC,11,11,1.0,7.374600136245135e-05
unidirectional,5,10,28,53054,Heap-Based,11,11,1.0,4.073099989909679e-05
unidirectional,5,10,29,53055,ILP,12,12,1.0,0.0052119450010650326
unidirectional,5,10,29,53055,REC,12,12,1.0,8.780600001045968e-05
unidirectional,5,10,29,53055,Heap-Based,12,12,1.0,4.6203998863347806e-05
unidirectional,5,10,30,53056,ILP,13,13,1.0,0.00647704299990437
unidirectional,5,10,30,53056,REC,13,13,1.0,8.697500015841797e-05
unidirectional,5,10,30,53056,Heap-Based,13,13,1.0,6.921699969097972e-05
unidirectional,5,10,31,53057,ILP,10,10,1.0,0.005109319999974105
unidirectional,5,10,31,53057,REC,10,10,1.0,7.648599967069458e-05
unidirectional,5,10,31,53057,Heap-Based,10,10,1.0,4.032299875689205e-05
unidirectional,5,10,32,53058,ILP,11,11,1.0,0.004949291000230005
unidirectional,5,10,32,53058,REC,11,11,1.0,7.17269995220704e-05
unidirectional,5,10,32,53058,Heap-Based,11,11,1.0,4.124400038563181e-05
unidirectional,5,20,0,54026,ILP,24,24,1.0,0.0055232590002560755
unidirectional,5,20,0,54026,REC,24,24,1.0,0.000139288000355009
unidirectional,5,20,0,54026,Heap-Based,24,24,1.0,8.816000081424136e-05
unidirectional,5,20,1,54027,ILP,20,20,1.0,0.00623061999976926
